# Document parsed from: List_of_Business_Partners.xlsx

## Page 1

|#|BP Code|DSL Code|Old SAP Code|Group|District|BP Name|Tem Suspended|BP Type|Contact Person|Other Name|Price List|Route Code|Town|Adress|Federal Tax ID|
|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
|1|ELCA10001|APA038|APA038|100|Anuradhapura|ZZMUTHUGALA DISTRIBUTORS|Y|C|MR.SANATH CHAMINDA||Wholesale Price||Anuradhapura|||
|2|ELCA10002|APA007|APA046|100|Anuradhapura|PATHMA MOTOR HOUSE|Y|C|MR.THIWANKA||Wholesale Price||Anuradhapura|||
|3|ELCA10003|APA011|APA047|100|Anuradhapura|ZYNEW LAKMINI MOTORS|N|C|MR.ASANKA||Wholesale Price||Anuradhapura|||
|4|ELCA10004|AAA002|AAA002|100|Colombo|AA CTB REGIONAL OFFICE -COLOM|N|C|||Wholesale Price|R01 - Colombo|Colombo|||
|5|ELCA10005|AAA003|AAA003|100|Ratnapura|AA CTB REGIONAL OFFICE|N|C|||Wholesale Price||Ratnapura|||
|6|ELCA10006|AAA007|AAA007|100|Colombo|AA RATHNA MOTORS-COLOMBO|N|C|||Wholesale Price|R01 - Colombo|Colombo|||
|7|ELCA10007|AAA008|AAA008|100|Colombo|AA SERENDIB INTERNATIONAL PVT|N|C|||Wholesale Price|R01 - Colombo|Colombo|||
|8|ELCA10008|AAA011|AAA011|102||AA SUNDRY DEBTORS|N|C|||Wholesale Price|||||
|9|ELCA10009|AAA013|AAA013|100|Colombo|AA UNION AUTO SPARES|N|C|||Wholesale Price|R01 - Colombo|Colombo|||
|10|ELCA10010|AAA016|AAA016|100|Colombo|AA KUMARAN HARDWARE & MOTORS|N|C|||Wholesale Price|||||
|11|ELCA10011|AMA016|AMA0030|100|Ampara|WEERASIRI MOTORS|N|C|MR.WEERASIRI||Wholesale Price||Ampara|||
|12|ELCA10012|AMA028|AMA006|100|Ampara|NANDASENA MOTORS.|N|C|MR.Y.K GODAHENAGE||Wholesale Price||Ampara|||
|13|ELCA10013|AMA001|AMA013|100|Ampara|ASIRI MOTORS|N|C|MR.SARATH||Wholesale Price||Ampara|||
|14|ELCA10014|AMA004|AMA015|100|Ampara|VICTORIYA MOTORS|N|C|A.L.M.FAITHUL||Wholesale Price||Ampara|||
|15|ELCA10015|AMA012|AMA021|100||UDARA MOTORS|N|C|MR.SAMANTHA||Wholesale Price|||||
|16|ELCA10016|GLM002|AMA028|100|Galle|ASIRI AUTO SERVICES|N|C|MR. G.K SISIRA||Wholesale Price||Mapalagama|||
|17|ELCA10017|AMA027|AMA032|100|Ampara|J.T.MOTORS|Y|C|MR.MUNAS||Wholesale Price||Akkaraipattu|||
|18|ELCA10018|AMA033|AMA033|100|Ampara|SUNRISE AUTO ELECTRICALS|N|C|MR. K. SURANGA||Wholesale Price||Ampara|||
